ZONA_ADM;BAIRRO;POPULACAO_IBGE_2010;POPULACAO_ESTIMADA_2020;RENDA_MENSAL_2010;QTD_ELEITORES;PERIMETRO_PMM_2010_HA;;
CENTRO-OESTE;ALVORADA;64.621;79.595;1.171;49.752;553,18;;
CENTRO-OESTE;BAIRRO DA PAZ;15.193;18.714;1.464;11.426;240,97;;
CENTRO-OESTE;DOM PEDRO;17.070;21.025;2.456;21.217;275,78;;
CENTRO-OESTE;PLANALTO;16.283;20.056;2.500;7.373;429,22;;
CENTRO-OESTE;REDENÇÃO;35.166;43.315;1.090;29.735;300,16;;
CENTRO-SUL;ADRIANÓPOLIS;8.847;10.897;4.824;8.709;248,45;;
CENTRO-SUL;ALEIXO;20.655;25.441;4.930;16.725;618,34;;
CENTRO-SUL;CHAPADA;11.182;13.773;3.096;4.663;241,27;;
CENTRO-SUL;FLORES;48.098;59.243;2.357;29.284;1.311,57;;
CENTRO-SUL;NOSSA SRA. DAS GRAÇAS;15.116;18.619;3.707;11.368;211,72;;
CENTRO-SUL;PARQUE 10 DE NOVEMBRO;41.256;50.816;3.112;33.024;821,12;;
CENTRO-SUL;SÃO GERALDO;7.599;9.360;1.898;5.196;104,50;;
LESTE;ARMANDO MENDES;28.288;34.843;802;19.342;307,65;;
LESTE;COLÔNIA ANTÔNIO ALEIXO;16.602;20.449;714;11.103;923,82;;
LESTE;COROADO;51.354;63.254;1.049;39.940;1.031,62;;
LESTE;DISTRITO INDUSTRIAL II;3.889;4.802;1.172;2.493;5.137,69;;
LESTE;GILBERTO MESTRINHO;55.347;68.172;784;23.447;707,15;;
LESTE;JORGE TEIXEIRA;112.879;139.036;726;70.755;1.557,15;;
LESTE;MAUAZINHO;23.560;29.019;734;14.388;748,83;;
LESTE;PURAQUEQUARA;5.856;7.213;680;4.328;4.055,69;;
LESTE;SÃO JOSÉ OPERÁRIO;66.169;81.502;920;60.345;543,10;;
LESTE;TANCREDO NEVES;48.833;60.149;700;34.567;304,64;;
LESTE;ZUMBI DOS PALMARES;35.159;43.306;725;26.443;251,05;;
NORTE;CIDADE DE DEUS;70.142;86.395;787;31.568;676,76;;
NORTE;CIDADE NOVA;121.135;149.205;1.174;107.368;1.419,38;;
NORTE;COLÔNIA SANTO ANTÔNIO;17.638;21.725;925;7.922;342,08;;
NORTE;COLÔNIA TERRA NOVA;45.076;55.521;761;26.200;943,98;;
NORTE;LAGO AZUL;7.632;9.041;816;10.968;2.961,87;;
NORTE;MONTE DAS OLIVEIRAS;40.162;49.468;743;21.935;401,92;;
NORTE;NOVA CIDADE;59.576;73.381;1.129;43.954;1.044,48;;
NORTE;NOVO ALEIXO;96.611;118.998;973;67.850;1.276,78;;
NORTE;NOVO ISRAEL;16.823;20.721;792;11.621;140,14;;
NORTE;SANTA ETELVINA;26.260;32.345;814;24.431;669,45;;
OESTE;COMPENSA;75.832;93.404;1.032;56.535;508,27;;
OESTE;GLÓRIA;8.981;11.062;900;6.050;49,47;;
OESTE;LÍRIO DO VALE;21.534;26.524;1.105;16.554;214,01;;
OESTE;NOVA ESPERANÇA;17.696;21.797;1.507;10.129;147,78;;
OESTE;PONTA NEGRA;5.007;6.167;9.102;;2.413,04;;
OESTE;SANTO AGOSTINHO;16.593;20.438;1.483;12.714;149,07;;
OESTE;SANTO ANTÔNIO;19.757;24.335;1.120;15.787;113,15;;
OESTE;SÃO JORGE;21.643;26.658;1.367;18.307;320,95;;
OESTE;SÃO RAIMUNDO;15.395;18.962;1.135;9.019;112,45;;
OESTE;TARUMÃ;28.057;34.558;914;28.643;3.928,07;;
OESTE;TARUMÃ-AÇÚ;12.053;14.846;967;1.981;4.807,05;;
OESTE;VILA DA PRATA;11.041;13.559;1.049;7.388;66,13;;
SUL;BETÂNIA;10.946;13.482;1.028;8.391;52,51;;
SUL;CACHOEIRINHA;16.948;20.875;1.414;13.852;197,71;;
SUL;CENTRO;33.138;40.872;1.927;25.738;426,94;;
SUL;COLÔNIA OLIVEIRA MACHADO;8.506;10.447;939;5.141;140,01;;
SUL;CRESPO;15.451;19.031;908;9.340;110,11;;
SUL;DISTRITO INDUSTRIAL I;2.708;3.336;1.008;;1.168,59;;
SUL;EDUCANDOS;15.857;19.531;907;11.265;82,83;;
SUL;JAPIIM;53.370;65.737;1.418;38.579;547,63;;
SUL;MORRO DA LIBERDADE;11.909;14.669;931;10.498;71,37;;
SUL;NOSSA SRA. APARECIDA;6.996;8.617;1.764;4.711;66,85;;
SUL;PETRÓPOLIS;41.210;50.759;1.094;37.264;324,10;;
SUL;PRAÇA 14 DE JANEIRO;10.250;12.625;1.283;11.755;100,34;;
SUL;PRESIDENTE VARGAS;7.944;9.785;1.327;3.526;56,70;;
SUL;RAIZ;14.122;17.394;1.293;9.382;83,92;;
SUL;SANTA LUZIA;6.503;8.010;1.075;6.558;27,39;;
SUL;SÃO FRANCISCO;16.824;20.722;1.385;13.807;162,28;;
SUL;SÃO LÁZARO;11.934;14.699;1.299;9.230;81,73;;
SUL;VILA BURITI;1.827;2.250;2.430;591;1.004,96;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
